published_date,title,description,book_image,amazon_product_url,age_group,author,book_review_link,contributor,first_chapter_link,price,primary_isbn10,primary_isbn13,publisher,sunday_review_link,weeks_on_list,bestseller_date,list_name,list_name_encoded,display_name
2022-09-28 22:10:28,DREAMLAND,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,https://storage.googleapis.com/du-prd/books/images/9780593449554.jpg,https://www.amazon.com/dp/059344955X?tag=NYTBSREV-20,,Nicholas Sparks,,by Nicholas Sparks,,0.00,059344955X,9780593449554,Random House,,1,2022-09-28 22:10:28,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:28,IT ENDS WITH US,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,,Colleen Hoover,,by Colleen Hoover,,0.00,1501110365,9781501110368,Atria,,67,2022-09-28 22:10:28,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:28,VERITY,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,,Colleen Hoover,,by Colleen Hoover,,0.00,1538724731,9781538724736,Grand Central,,42,2022-09-28 22:10:28,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,WHERE THE CRAWDADS SING,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20,,Delia Owens,,by Delia Owens,,0.00,0735219109,9780735219106,Putnam,,179,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,FAIRY TALE,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,Stephen King,,by Stephen King,,0.00,1668002175,9781668002179,Scribner,,3,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,THE BULLET THAT MISSED,The third book in the Thursday Murder Club series. A decade-old cold case and a new foe spark the latest adventure.,https://storage.googleapis.com/du-prd/books/images/9780593299395.jpg,https://www.amazon.com/dp/0593299396?tag=NYTBSREV-20,,Richard Osman,,by Richard Osman,,0.00,059329940X,9780593299401,Pamela Dorman,,1,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,UGLY LOVE,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,,Colleen Hoover,,by Colleen Hoover,,0.00,1476753180,9781476753188,Atria,,37,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,MAYBE NOW,"The third book in the Maybe Someday series. Maggie, Ridge and Sydney are forced to deal with the dynamics of their relationships.",https://storage.googleapis.com/du-prd/books/images/9781668013342.jpg,https://www.amazon.com/dp/1668013347?tag=NYTBSREV-20,,Colleen Hoover,,by Colleen Hoover,,0.00,1668013347,9781668013342,Atria,,1,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,BLOWBACK,President Keegan Barrett’s power grab tests the loyalties of two C.I.A. agents.,https://storage.googleapis.com/du-prd/books/images/9780316499637.jpg,https://www.amazon.com/dp/0316499633?tag=NYTBSREV-20,,James Patterson and Brendan DuBois,,by James Patterson and Brendan DuBois,,0.00,0316499633,9780316499637,"Little, Brown",,2,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,THE SEVEN HUSBANDS OF EVELYN HUGO,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,,Taylor Jenkins Reid,,by Taylor Jenkins Reid,,0.00,1501161938,9781501161933,Washington Square/Atria,,65,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,NOVEMBER 9,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20,,Colleen Hoover,,by Colleen Hoover,,0.00,1501110349,9781501110344,Atria,,27,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,VINCE FLYNN: OATH OF LOYALTY,"The 21st book in the Mitch Rapp series. President Cook, a team of assassins and a killer known as Legion confront Rapp on different fronts.",https://storage.googleapis.com/du-prd/books/images/9781982164911.jpg,https://www.amazon.com/dp/1982164913?tag=NYTBSREV-20,,Kyle Mills,,by Kyle Mills,,0.00,198216493X,9781982164935,Atria/Emily Bestler,,2,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,LUCY BY THE SEA,"As the pandemic starts, Lucy Barton and her ex-husband go to a small town in Maine, where they confront their shared history.",https://storage.googleapis.com/du-prd/books/images/9780593446065.jpg,https://www.amazon.com/dp/0593446062?tag=NYTBSREV-20,,Elizabeth Strout,,by Elizabeth Strout,,0.00,0593446062,9780593446065,Random House,,1,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,SWEETWATER AND THE WITCH,"A woman accused of being a witch gets involved with her matchmaking client, who is involved in industrial espionage and hunts monsters.",https://storage.googleapis.com/du-prd/books/images/9780593440261.jpg,https://www.amazon.com/dp/0593440250?tag=NYTBSREV-20,,Jayne Castle,,by Jayne Castle,,0.00,0593440269,9780593440261,Berkley,,1,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,THE VIPER,The third book in the Black Dagger Brotherhood: Prison Camp series.,https://storage.googleapis.com/du-prd/books/images/9781982179922.jpg,https://www.amazon.com/dp/1982179902?tag=NYTBSREV-20,,J.R. Ward,,by J.R. Ward,,0.00,1982179929,9781982179922,Gallery,,1,2022-09-28 22:10:29,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,Combined Print & E-Book Fiction
2022-09-28 22:10:29,I'M GLAD MY MOM DIED,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg,https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20,,Jennette McCurdy,,by Jennette McCurdy,,0.00,1982185821,9781982185824,Simon & Schuster,,7,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:29,THE DIVIDER,The married journalists who write for The New York Times and The New Yorker posit that Donald Trump began to emulate the foreign autocrats he admired.,https://storage.googleapis.com/du-prd/books/images/9780385546539.jpg,https://www.amazon.com/dp/038554653X?tag=NYTBSREV-20,,Peter Baker and Susan Glasser,,by Peter Baker and Susan Glasser,,0.00,038554653X,9780385546539,Doubleday,,1,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:29,STARRY MESSENGER,"The astrophysicist and director of the Hayden Planetarium delves into subjects including politics, religion, gender and race.",https://storage.googleapis.com/du-prd/books/images/9781250861504.jpg,https://www.amazon.com/dp/1250861500?tag=NYTBSREV-20,,Neil deGrasse Tyson,,by Neil deGrasse Tyson,,0.00,1250861500,9781250861504,Holt,,1,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:29,THE BODY KEEPS THE SCORE,"How trauma affects the body and mind, and innovative treatments for recovery.",https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20,,Bessel van der Kolk,https://www.nytimes.com/2018/10/18/books/review/how-to-rewire-your-traumatized-brain.html,by Bessel van der Kolk,,0.00,0143127748,9780143127741,Penguin,,109,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:29,DINNERS WITH RUTH,The NPR legal affairs correspondent details her professional accomplishments and friendship with the late Supreme Court Justice Ruth Bader Ginsburg.,https://storage.googleapis.com/du-prd/books/images/9781982188085.jpg,https://www.amazon.com/dp/1982188081?tag=NYTBSREV-20,,Nina Totenberg,,by Nina Totenberg,,0.00,1982188081,9781982188085,Simon & Schuster,,2,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:29,THE MYTH OF NORMAL,The potential ways in which trauma and stress from modern-day living can affect our physical health.,https://storage.googleapis.com/du-prd/books/images/9780593083888.jpg,https://www.amazon.com/dp/0593083881?tag=NYTBSREV-20,,Gabor Maté with Daniel Maté,,by Gabor Maté with Daniel Maté,,0.00,0593083881,9780593083888,Avery,,2,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:29,WHAT IF? 2,The creator of the web comic “xkcd” and former NASA roboticist looks into hypothetical and oddball scenarios.,https://storage.googleapis.com/du-prd/books/images/9780525537113.jpg,https://www.amazon.com/dp/0525537112?tag=NYTBSREV-20,,Randall Munroe,,by Randall Munroe,,0.00,0525537112,9780525537113,Riverhead,,2,2022-09-28 22:10:29,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,THE MOSQUITO BOWL,The Pulitzer Prize-winning journalist depicts the service of college football players who served in the Marines during World War II.,https://storage.googleapis.com/du-prd/books/images/9780062879929.jpg,https://www.amazon.com/dp/0062879928?tag=NYTBSREV-20,,Buzz Bissinger,,by Buzz Bissinger,,0.00,0062879928,9780062879929,Harper,,2,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,BREAKING HISTORY,An account of time spent in the Trump White House by the former president’s son-in-law and senior adviser.,https://storage.googleapis.com/du-prd/books/images/9780063221482.jpg,https://www.amazon.com/dp/0063221489?tag=NYTBSREV-20,,Jared Kushner,,by Jared Kushner,,0.00,0063221489,9780063221482,Broadside,,5,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,THE BIGGEST IDEAS IN THE UNIVERSE,The ways in which physics can be used to explain how some things function in the universe.,https://storage.googleapis.com/du-prd/books/images/9780593186589.jpg,https://www.amazon.com/dp/0593186583?tag=NYTBSREV-20,,Sean Carroll,,by Sean Carroll,,0.00,0593186583,9780593186589,Dutton,,1,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,HOLDING THE LINE,The former U.S. attorney for the Southern District of New York gives his account of pushing back against the Trump Justice Department.,https://storage.googleapis.com/du-prd/books/images/9780593300299.jpg,https://www.amazon.com/dp/0593300297?tag=NYTBSREV-20,,Geoffrey Berman,,by Geoffrey Berman,,0.00,0593300297,9780593300299,Penguin Press,,2,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,LIKE A ROLLING STONE,"A memoir by the founder, co-editor and publisher of Rolling Stone magazine.",https://storage.googleapis.com/du-prd/books/images/9780316415194.jpg,https://www.amazon.com/dp/0316415197?tag=NYTBSREV-20,,Jann S. Wenner,,by Jann S. Wenner,,0.00,0316415197,9780316415194,"Little, Brown",,2,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,SOLITO,The poet describes his journey over two months from El Salvador to the United States to reconnect with his parents who left years earlier.,https://storage.googleapis.com/du-prd/books/images/9780593498064.jpg,https://www.amazon.com/dp/0593498062?tag=NYTBSREV-20,,Javier Zamora,,by Javier Zamora,,0.00,0593498062,9780593498064,Hogarth,,3,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,PROFILES IN IGNORANCE,The creator of “The Borowitz Report” looks at the declining knowledge of some public officials over the last 50 years.,https://storage.googleapis.com/du-prd/books/images/9781668003886.jpg,https://www.amazon.com/dp/1668003880?tag=NYTBSREV-20,,Andy Borowitz,,by Andy Borowitz,,0.00,1668003880,9781668003886,Avid Reader,,2,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:30,LADY JUSTICE,The senior legal correspondent at Slate chronicles the work of some women lawyers during the Trump presidency.,https://storage.googleapis.com/du-prd/books/images/9780525561385.jpg,https://www.amazon.com/dp/0525561382?tag=NYTBSREV-20,,Dahlia Lithwick,,by Dahlia Lithwick,,0.00,0525561382,9780525561385,Penguin Press,,1,2022-09-28 22:10:30,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,Combined Print & E-Book Nonfiction
2022-09-28 22:10:23,DREAMLAND,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,https://storage.googleapis.com/du-prd/books/images/9780593449554.jpg,https://www.amazon.com/dp/059344955X?tag=NYTBSREV-20,,Nicholas Sparks,,by Nicholas Sparks,,0.00,059344955X,9780593449554,Random House,,1,2022-09-28 22:10:23,Hardcover Fiction,hardcover-fiction,Hardcover Fiction
2022-09-28 22:10:23,FAIRY TALE,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,Stephen King,,by Stephen King,,0.00,1668002175,9781668002179,Scribner,,3,2022-09-28 22:10:23,Hardcover Fiction,hardcover-fiction,Hardcover Fiction
2022-09-28 22:10:23,THE BULLET THAT MISSED,The third book in the Thursday Murder Club series. A decade-old cold case and a new foe spark the latest adventure.,https://storage.googleapis.com/du-prd/books/images/9780593299395.jpg,https://www.amazon.com/dp/0593299396?tag=NYTBSREV-20,,Richard Osman,,by Richard Osman,,0.00,0593299396,9780593299395,Pamela Dorman,,1,2022-09-28 22:10:23,Hardcover Fiction,hardcover-fiction,Hardcover Fiction
